airport;date;movemenst;passengers
Basel-Mulhouse;01.01.70;14617;350708
Basel-Mulhouse;01.01.71;15306;410088
Basel-Mulhouse;01.01.72;16332;460797
Basel-Mulhouse;01.01.73;16560;507258
Basel-Mulhouse;01.01.74;17060;504500
Basel-Mulhouse;01.01.75;17709;505512
Basel-Mulhouse;01.01.76;17794;545988
Basel-Mulhouse;01.01.77;17122;553753
Basel-Mulhouse;01.01.78;18921;591042
Basel-Mulhouse;01.01.79;20469;622482
Basel-Mulhouse;01.01.80;20997;653087
Basel-Mulhouse;01.01.81;20971;687282
Basel-Mulhouse;01.01.82;20193;635873
Basel-Mulhouse;01.01.83;21579;658716
Basel-Mulhouse;01.01.84;621;22062
Basel-Mulhouse;02.01.84;41;1254
Basel-Mulhouse;03.01.84;52;941
Basel-Mulhouse;04.01.84;50;993
Basel-Mulhouse;05.01.84;52;729
Basel-Mulhouse;06.01.84;52;1280
Basel-Mulhouse;07.01.84;36;1226
Basel-Mulhouse;08.01.84;44;1868
Basel-Mulhouse;09.01.84;48;1069
Basel-Mulhouse;10.01.84;54;1046
Basel-Mulhouse;11.01.84;54;1326
Basel-Mulhouse;12.01.84;54;1129
Basel-Mulhouse;13.01.84;56;1685
Basel-Mulhouse;14.01.84;40;794
Basel-Mulhouse;15.01.84;34;1091
Basel-Mulhouse;16.01.84;58;1003
Basel-Mulhouse;17.01.84;54;970
Basel-Mulhouse;18.01.84;60;1144
Basel-Mulhouse;19.01.84;56;785
Basel-Mulhouse;20.01.84;60;1531
Basel-Mulhouse;21.01.84;42;1004
Basel-Mulhouse;22.01.84;38;1319
Basel-Mulhouse;23.01.84;56;1045
Basel-Mulhouse;24.01.84;58;954
Basel-Mulhouse;25.01.84;62;1606
Basel-Mulhouse;26.01.84;52;1002
Basel-Mulhouse;27.01.84;57;1322
Basel-Mulhouse;28.01.84;41;1354
Basel-Mulhouse;29.01.84;37;1495
Basel-Mulhouse;30.01.84;60;952
Basel-Mulhouse;31.01.84;54;1035
Basel-Mulhouse;01.02.84;635;21688
Basel-Mulhouse;02.02.84;56;1126
Basel-Mulhouse;03.02.84;60;1550
Basel-Mulhouse;04.02.84;36;1067
Basel-Mulhouse;05.02.84;38;1353
Basel-Mulhouse;06.02.84;54;975
Basel-Mulhouse;07.02.84;52;858
Basel-Mulhouse;08.02.84;66;1482
Basel-Mulhouse;09.02.84;58;1227
Basel-Mulhouse;10.02.84;67;1864
Basel-Mulhouse;11.02.84;38;1050
Basel-Mulhouse;12.02.84;38;1058
Basel-Mulhouse;13.02.84;56;936
Basel-Mulhouse;14.02.84;56;948
Basel-Mulhouse;15.02.84;58;1178
Basel-Mulhouse;16.02.84;53;1156
Basel-Mulhouse;17.02.84;57;1596
Basel-Mulhouse;18.02.84;38;1227
Basel-Mulhouse;19.02.84;42;1778
Basel-Mulhouse;20.02.84;52;1116
Basel-Mulhouse;21.02.84;56;1023
Basel-Mulhouse;22.02.84;60;1717
Basel-Mulhouse;23.02.84;54;1154
Basel-Mulhouse;24.02.84;66;2060
Basel-Mulhouse;25.02.84;40;1033
Basel-Mulhouse;26.02.84;42;1163
Basel-Mulhouse;27.02.84;52;1073
Basel-Mulhouse;28.02.84;54;1109
Basel-Mulhouse;29.02.84;66;1744
Basel-Mulhouse;01.03.84;662;24687
Basel-Mulhouse;02.03.84;61;1895
Basel-Mulhouse;03.03.84;40;1511
Basel-Mulhouse;04.03.84;45;1797
Basel-Mulhouse;05.03.84;52;853
Basel-Mulhouse;06.03.84;54;765
Basel-Mulhouse;07.03.84;52;1330
Basel-Mulhouse;08.03.84;58;1530
Basel-Mulhouse;09.03.84;56;1730
Basel-Mulhouse;10.03.84;42;1676
Basel-Mulhouse;11.03.84;39;1421
Basel-Mulhouse;12.03.84;54;1015
Basel-Mulhouse;13.03.84;58;925
Basel-Mulhouse;14.03.84;60;1191
Basel-Mulhouse;15.03.84;59;1096
Basel-Mulhouse;16.03.84;63;1667
Basel-Mulhouse;17.03.84;36;1515
Basel-Mulhouse;18.03.84;48;2059
Basel-Mulhouse;19.03.84;54;1199
Basel-Mulhouse;20.03.84;60;1367
Basel-Mulhouse;21.03.84;58;1668
Basel-Mulhouse;22.03.84;52;1492
Basel-Mulhouse;23.03.84;63;2062
